,Geographic Area Name,LDS Presence,Sister Cities,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!Bachelor's degree,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Total population,Male,Female,Under 18 years,18 years and over,21 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,"Citizen, 18 and over population",Male,Female
210,"Craig, CO",0,0,832,116,385,14,8847,276,527,3570,1019,7645,1455,35649,"36,558","17,961","18,597","8,565","27,993","26,786","7,040","35,344",447,67,121,"16,441","27,900","13,499","14,401"
211,"Crawfordsville, IN",0,0,3627,685,1211,181,25905,626,2092,10707,3256,22443,4489,35695,"13,150","6,764","6,386","3,394","9,756","9,469","1,873","12,009",108,95,18,"6,197","9,241","4,621","4,620"
212,"Crescent City, CA",0,0,2033,428,806,51,19437,865,2819,6131,1619,13115,2241,31619,"38,295","19,354","18,941","8,583","29,712","27,934","6,979","36,206",367,38,262,"16,709","28,987","14,611","14,376"
213,"Crestview-Fort Walton Beach-Destin, FL",0,0,22926,3630,7633,1788,185712,5039,11746,47203,35617,143795,48984,35486,"27,692","14,745","12,947","6,003","21,689","20,831","4,924","20,002",747,"1,943",880,"11,349","20,511","10,914","9,597"
214,"Crossville, TN",0,0,3628,456,2021,159,44437,2448,3770,17760,5235,37235,7789,29942,"278,479","141,230","137,249","60,506","217,973","209,182","47,093","220,881","23,564","1,007","7,233","151,439","210,050","106,689","103,361"
215,"Cullman, AL",0,0,6529,1381,2226,299,57212,3181,7224,20382,5047,45028,7518,32583,"60,016","29,334","30,682","10,483","49,533","47,919","18,503","57,823",602,310,213,"30,081","49,074","23,553","25,521"
216,"Cullowhee, NC",0,0,8114,277,974,809,26979,1170,1971,7205,4418,20985,7765,31311,"83,345","41,079","42,266","18,707","64,638","61,554","15,341","78,295",943,295,304,"38,056","63,621","31,129","32,492"
217,"Cumberland, MD-WV",0,0,11634,902,3574,920,69438,1635,5151,30328,6529,58174,11457,33256,"57,676","27,973","29,703","10,503","47,173","42,126","11,342","45,260",994,"7,539",382,"36,721","45,871","21,746","24,125"
218,"Dallas, TX",1,0,667701,98936,216643,73405,4671829,344519,348500,1047419,1050820,2836077,1163555,41918,"98,049","50,883","47,166","17,696","80,353","74,562","20,195","87,907","6,876",121,743,"45,951","79,689","41,101","38,588"
219,"Dalton, GA",0,0,13063,2493,4873,718,92955,12422,16038,29226,8535,59781,11969,31474,"7,451,858","3,666,414","3,785,444","1,935,360","5,516,498","5,225,708","837,098","4,809,361","1,180,062","35,160","534,011","2,821,032","4,741,386","2,278,295","2,463,091"
220,"Danville, IL",0,0,6415,1385,2633,193,53310,1758,4595,21917,5427,41058,7403,33981,"143,911","71,271","72,640","36,823","107,088","101,246","20,309","127,759","3,946","1,090","1,621","56,425","92,762","45,656","47,106"
221,"Danville, KY",0,0,5719,464,2366,244,36818,2699,3535,14301,3405,28526,6246,31271,"76,704","38,202","38,502","18,103","58,601","55,721","14,740","62,681","10,898",136,746,"36,035","57,905","28,445","29,460"
222,"Danville, VA",0,0,8076,1366,2671,595,73979,4697,8588,24514,7472,41306,8898,30395,"54,583","27,078","27,505","11,810","42,773","40,016","10,189","49,214","3,034",91,303,"23,572","42,171","20,630","21,541"
223,"Daphne-Fairhope-Foley, AL",0,0,15441,2785,5374,1357,146989,3978,10332,40579,30431,119111,42702,35923,"101,535","48,591","52,944","20,344","81,191","77,929","22,163","63,830","32,386",67,776,"53,640","79,696","37,434","42,262"
224,"Davenport-Moline-Rock Island, IA-IL",0,0,32306,3555,10718,3169,262111,7398,16288,80774,44850,214860,63185,37838,"218,289","105,889","112,400","46,993","171,296","164,172","44,716","186,504","19,153","1,514","2,033","116,747","167,986","80,235","87,751"
225,"Dayton, OH",0,0,77691,8677,21956,7375,547728,13501,37046,155958,92364,407271,133540,38360,"380,274","187,258","193,016","87,163","293,111","278,617","68,902","318,359","28,712","1,201","8,623","170,444","283,568","137,853","145,715"
226,"Dayton, TN",0,0,2986,504,1205,112,22054,1770,3015,8192,2178,16546,3209,30774,"380,274","187,258","193,016","87,163","293,111","278,617","68,902","318,359","28,712","1,201","8,623","170,444","283,568","137,853","145,715"
227,"Decatur, AL",0,0,12021,2060,4728,585,105656,6834,11791,34060,14211,72900,17846,32885,"805,929","391,247","414,682","176,800","629,129","594,276","143,782","623,462","122,793","1,303","18,283","370,121","613,706","292,741","320,965"
228,"Decatur, IL",0,0,9528,1245,3152,662,73230,1770,5347,25214,10708,55517,14490,36729,"152,321","74,623","77,698","34,522","117,799","113,001","26,777","119,563","18,657","2,473",701,"67,581","113,960","54,928","59,032"
229,"Decatur, IN",0,0,3021,973,1135,204,21160,1889,1483,8403,2242,17319,3133,33750,"104,688","49,992","54,696","23,319","81,369","77,248","20,807","80,865","16,581",191,"1,215","50,364","80,378","37,603","42,775"
230,"Defiance, OH",0,0,3480,380,1257,228,25899,622,1450,11388,2854,22315,4120,36883,"35,544","17,744","17,800","11,176","24,368","23,095","5,451","33,914",352,34,91,"13,328","24,174","11,860","12,314"
231,"Del Rio, TX",0,0,5563,1127,1908,639,29364,5976,3356,6981,3768,18412,5002,30206,"38,024","18,849","19,175","8,711","29,313","27,782","7,079","34,248",679,153,148,"16,805","28,929","14,140","14,789"
232,"Deltona-Daytona Beach-Ormond Beach, FL",0,0,51075,8369,15290,3749,470654,12990,32494,152857,73025,367675,96842,31462,"49,018","24,955","24,063","13,885","35,133","32,919","7,009","41,308",656,155,346,"19,232","29,358","14,856","14,502"
233,"Deming, NM",0,0,2346,560,1032,68,15533,2503,2382,4983,1210,9886,1808,19532,"658,961","320,032","338,929","115,434","543,527","520,193","168,279","523,823","70,603","2,056","12,794","315,254","526,070","253,454","272,616"
234,"Denver, CO",1,0,231459,34007,73214,32600,1957998,79826,101071,392211,532965,1511234,739024,46039,"24,022","12,099","11,923","6,315","17,707","16,641","4,935","20,219",349,224,236,"11,318","15,387","7,827","7,560"
235,"DeRidder, LA",0,0,3237,577,1724,136,24436,1598,2143,9302,2995,17613,3764,38689,"2,928,437","1,464,957","1,463,480","656,743","2,271,694","2,175,355","380,221","2,284,528","167,128","21,531","125,580","1,156,748","2,098,162","1,039,266","1,058,896"
236,"Des Moines, IA",1,0,53753,6775,15282,8249,418852,13422,18283,104319,106849,352076,142153,44472,"37,387","19,043","18,344","9,240","28,147","26,463","5,880","31,110","4,756",86,223,"16,013","27,818","14,165","13,653"
237,"Detroit, MI",1,0,375251,52465,118497,42349,2971255,98115,207227,794550,545189,1960963,700234,41132,"690,585","341,251","349,334","172,861","517,724","493,275","94,506","590,973","36,500","1,434","28,181","291,476","492,273","239,459","252,814"
238,"Dickinson, ND",0,0,2998,264,1135,466,20068,696,950,6620,3331,17478,4330,49126,"4,317,384","2,102,911","2,214,473","953,760","3,363,624","3,218,534","708,419","2,954,265","947,852","12,230","196,328","1,910,964","3,201,782","1,531,405","1,670,377"
239,"Dixon, IL",0,0,2693,587,784,114,24967,604,2181,8532,2596,20575,4142,36316,"32,050","16,584","15,466","8,510","23,540","22,501","4,278","28,901",826,530,403,"15,353","23,038","11,891","11,147"
240,"Dodge City, KS",0,0,3519,676,1526,21,20438,3773,2057,5085,2337,13268,3318,32904,"34,204","18,161","16,043","6,725","27,479","26,363","6,671","30,715","1,821",57,228,"15,086","27,034","14,453","12,581"
241,"Dothan, AL",0,0,11675,1895,4435,655,102463,5074,11490,33685,12103,67193,16459,31798,"33,718","17,568","16,150","10,164","23,554","22,109","3,662","27,788",694,161,424,"12,285","17,921","9,167","8,754"
242,"Douglas, GA",0,0,4504,957,1655,160,27907,2017,4294,10771,2137,15234,3215,28803,"148,825","71,526","77,299","33,660","115,165","109,949","27,893","106,529","35,908",636,"1,111","69,902","113,752","53,395","60,357"
243,"Dover, DE",0,0,18154,2829,4863,1385,116057,4830,10100,38490,16999,71714,19265,37882,"51,381","26,169","25,212","12,771","38,610","35,981","7,115","34,097","13,634",90,300,"20,862","36,161","18,226","17,935"
244,"Dublin, GA",0,0,5165,1309,2352,95,38326,1872,4355,16665,3116,21393,4097,31464,"179,124","86,313","92,811","41,125","137,999","130,291","30,665","116,704","45,803","1,167","3,756","73,073","133,599","63,372","70,227"
245,"DuBois, PA",0,0,6148,921,2980,558,59251,2341,5407,29119,5624,49360,8171,31545,"63,908","31,530","32,378","15,139","48,769","46,472","11,299","38,380","23,092",108,539,"28,731","48,247","23,421","24,826"
246,"Dubuque, IA",0,0,9925,799,2350,1059,64565,1499,3412,21282,12723,57161,18807,38338,"79,466","41,869","37,597","14,444","65,022","62,847","16,306","74,908","2,188",138,402,"39,321","63,159","32,682","30,477"
247,"Duluth, MN-WI",0,0,32033,2941,7962,3058,191868,2659,8703,56226,34961,171038,50117,38361,"97,193","47,950","49,243","22,166","75,027","70,373","17,256","89,329","3,042",231,"1,144","41,518","73,720","35,898","37,822"
248,"Dumas, TX",0,0,2369,706,756,120,12516,2833,1338,2916,1208,6631,1225,34217,"289,276","146,067","143,209","56,342","232,934","217,992","55,656","264,156","4,570","5,779","2,691","152,311","230,472","115,716","114,756"
249,"Duncan, OK",0,0,3360,676,1470,131,30304,1082,2748,12446,3827,23192,4666,31832,"21,169","11,165","10,004","6,751","14,418","13,626","2,343","15,951",814,75,"1,335","8,119","10,455","5,312","5,143"
250,"Dunn, NC",0,0,11845,1576,3785,837,83751,3756,7679,25063,11475,52646,13383,35417,"43,401","21,166","22,235","10,051","33,350","31,847","8,545","35,620",800,"2,205",292,"20,670","32,708","15,740","16,968"
251,"Durango, CO",0,0,5265,519,1401,811,39271,635,1331,7980,10951,34097,16248,38795,"43,401","21,166","22,235","10,051","33,350","31,847","8,545","35,620",800,"2,205",292,"20,670","32,708","15,740","16,968"
252,"Durant, OK",0,0,4454,651,1485,268,30558,1194,3079,9782,4455,20951,5646,31273,"56,138","28,252","27,886","10,499","45,639","42,926","9,768","48,369",309,"3,579",432,"26,840","45,092","22,601","22,491"
253,"Durham-Chapel Hill, NC",0,0,64228,6225,16090,10675,377385,18849,21778,70441,89328,223433,129808,40694,"47,325","23,012","24,313","11,091","36,234","34,056","8,324","34,608",853,"6,464",308,"20,443","35,398","17,042","18,356"
254,"Dyersburg, TN",0,0,3099,436,1377,153,25465,1857,2559,9511,2825,17913,3861,33971,"636,256","305,678","330,578","129,791","506,465","473,406","97,853","391,956","165,637","2,162","29,022","274,384","465,620","217,441","248,179"
255,"Eagle Pass, TX",0,0,6957,1528,2440,247,32606,8602,4543,7141,3019,17809,3591,25945,"37,201","18,032","19,169","8,839","28,362","27,106","6,497","30,153","4,618",184,244,"16,933","28,126","13,369","14,757"
256,"Easton, MD",0,0,2279,261,850,380,28080,844,1789,7197,5656,21843,10039,40575,"58,098","28,875","29,223","18,148","39,950","36,948","6,851","47,063",372,"1,105",29,"18,511","30,639","15,560","15,079"
257,"East Stroudsburg, PA",0,0,18429,2304,6959,1484,115370,3908,8376,40893,18026,82234,21993,38567,"58,098","28,875","29,223","18,148","39,950","36,948","6,851","47,063",372,"1,105",29,"18,511","30,639","15,560","15,079"
258,"Eau Claire, WI",0,0,21956,1827,6300,1662,109167,2723,4778,32551,19545,97300,28400,37159,"168,824","83,650","85,174","33,149","135,675","127,236","29,373","125,370","23,949",491,"4,335","81,648","130,797","64,262","66,535"
259,"Edwards, CO",0,0,4197,828,1576,512,38042,1996,2079,5979,13196,32151,17720,42120,"168,307","84,871","83,436","35,298","133,009","123,597","27,474","155,333","2,250",537,"4,894","73,045","131,431","65,810","65,621"
260,"Effingham, IL",0,0,2821,348,914,498,23277,714,1004,8473,3670,21100,5071,34929,"54,960","29,195","25,765","11,884","43,076","41,048","6,290","47,537",548,130,303,"32,138","37,877","20,586","17,291"
261,"El Campo, TX",0,0,3811,955,1143,188,26922,2838,2991,7955,2884,17381,4325,33317,"34,151","17,003","17,148","8,044","26,107","25,079","5,973","33,014",236,47,125,"14,936","25,727","12,712","13,015"
262,"El Centro, CA",0,1,19202,3864,4982,789,109338,18440,15488,26758,10794,50507,11428,28667,"41,672","20,580","21,092","10,871","30,801","29,119","7,074","31,570","5,515",36,165,"17,727","28,341","13,665","14,676"
263,"El Dorado, AR",0,0,3093,671,919,166,27079,1173,2956,9543,4068,16238,4747,32169,"180,580","92,609","87,971","51,772","128,808","121,294","23,306","102,305","4,716","2,111","2,599","57,855","103,406","54,392","49,014"
264,"Elizabeth City, NC",0,0,5353,750,1549,289,44187,2287,3741,13675,5636,26901,6276,34542,"39,089","18,825","20,264","9,410","29,679","28,454","6,914","25,064","12,883",286,302,"20,065","29,191","13,861","15,330"
265,"Elizabethtown-Fort Knox, KY",0,0,13973,1649,6148,838,100054,3844,6898,32088,11490,76066,17280,36393,"53,288","25,955","27,333","11,323","41,965","39,624","10,495","32,892","17,537",93,529,"24,450","41,373","19,823","21,550"
266,"Elk City, OK",0,0,1944,466,980,46,14923,416,1519,5729,1810,11345,2426,34281,"152,275","75,841","76,434","36,407","115,868","110,831","21,996","125,209","14,654",419,"2,473","65,903","113,925","56,277","57,648"
267,"Elkhart-Goshen, IN",0,0,18112,4679,6741,982,128815,10718,13500,45368,16148,95245,23433,35636,"21,860","11,926","9,934","5,441","16,419","15,519","2,985","18,316",913,602,49,"10,057","15,972","8,923","7,049"
268,"Elkins, WV",0,0,2496,451,1057,135,21003,1232,2166,10165,1941,17166,3363,30244,"205,184","101,454","103,730","56,611","148,573","140,659","29,989","174,989","10,906",565,"1,892","79,389","138,919","67,756","71,163"
269,"Elko, NV",0,0,4731,808,1861,122,34526,2087,2909,10349,3915,26081,5519,47868,"28,763","14,750","14,013","5,601","23,162","22,150","6,338","27,025",559,40,162,"14,271","23,106","11,912","11,194"
270,"Ellensburg, WA",0,0,10067,542,2281,1135,26948,714,1428,6330,6157,23084,8874,39638,"54,376","28,363","26,013","14,622","39,754","37,766","6,471","43,782",677,"3,007",664,"22,938","37,678","19,586","18,092"
271,"Elmira, NY",0,0,7159,1218,2768,421,59921,1763,4026,21581,7813,49522,13160,37043,"47,097","23,547","23,550","7,970","39,127","33,675","7,533","40,640",488,221,617,"24,226","38,016","18,767","19,249"
272,"El Paso, TX",1,0,97160,11938,29237,5453,511137,70092,45447,122120,78196,324649,96076,29674,"39,089","18,825","20,264","9,410","29,679","28,454","6,914","25,064","12,883",286,302,"20,065","29,191","13,861","15,330"
273,"Emporia, KS",0,0,5909,262,1170,562,19969,1288,1038,6163,3433,16374,5099,33015,"841,602","415,461","426,141","228,630","612,972","574,040","102,595","582,609","26,978","4,688","10,716","300,662","517,440","256,451","260,989"
274,"Enid, OK",0,0,5543,825,2282,745,40501,1722,3063,14893,5867,31319,8284,32517,"35,841","17,425","18,416","7,976","27,865","25,077","5,675","31,323",761,165,771,"16,870","25,809","12,250","13,559"
275,"Enterprise, AL",0,0,4215,786,1431,370,34912,1517,3316,9723,5439,23874,6864,34446,"61,555","30,551","31,004","15,481","46,074","43,766","10,015","49,454","1,557","1,304",586,"26,776","42,769","21,307","21,462"
276,"Erie, PA",0,0,28172,3270,8937,3400,187964,5133,11271,73342,33581,157411,48630,35100,"52,238","25,815","26,423","12,352","39,886","38,314","8,860","39,014","8,906",523,843,"23,313","38,934","19,057","19,877"
277,"Escanaba, MI",0,0,2487,365,857,28,26412,555,1048,8807,3873,23720,5499,31713,"272,046","134,323","137,723","57,995","214,051","201,391","48,770","232,894","19,447",669,"4,980","121,613","209,151","102,037","107,114"
278,"Española, NM",0,0,3342,670,1239,117,26647,1273,2396,8328,3336,13063,3291,(X),"35,874","18,015","17,859","7,093","28,781","27,671","8,616","33,208",111,788,190,"20,396","28,656","14,274","14,382"
279,"Eufaula, AL-GA",0,0,2295,571,1050,67,19906,1597,3866,7080,1534,7942,1744,27169,"38,962","18,966","19,996","8,997","29,965","28,269","7,532","19,088",231,"6,179",234,"20,226","29,045","14,286","14,759"
280,"Eugene, OR",0,0,47636,4850,12997,3918,251966,6629,15084,59108,45237,210458,67755,31855,"27,316","14,319","12,997","5,518","21,798","20,650","5,487","12,579","13,005",88,267,"14,103","21,377","11,337","10,040"
281,"Eureka-Arcata-Fortuna, CA",0,0,17563,1476,4576,1107,91946,2593,6285,21615,18017,71448,24346,30391,"136,101","67,538","68,563","25,945","110,156","102,744","24,287","107,151","1,558","6,162","3,948","63,003","106,928","52,798","54,130"
282,"Evanston, WY",0,0,1623,351,685,40,12915,288,646,5176,1356,11374,1939,36342,"136,101","67,538","68,563","25,945","110,156","102,744","24,287","107,151","1,558","6,162","3,948","63,003","106,928","52,798","54,130"
283,"Evansville, IN-KY",0,0,28244,4792,8309,3001,216047,5383,15704,71761,34901,177692,50557,36535,"20,374","10,315","10,059","5,858","14,516","13,996","2,868","18,929",55,122,39,"9,077","14,112","7,126","6,986"
284,"Fairbanks, AK",1,0,13660,938,4702,1178,61838,1058,2323,13785,12681,46935,17139,47278,"315,186","153,345","161,841","70,233","244,953","233,148","54,284","275,675","22,294",273,"4,417","142,916","240,421","115,365","125,056"
285,"Fairfield, IA",0,0,1998,309,273,380,12768,192,743,3540,2164,10430,3334,30116,"98,455","53,109","45,346","23,708","74,747","70,056","10,268","72,757","4,628","7,615","3,219","44,270","72,785","40,206","32,579"
286,"Fairmont, MN",0,0,1487,384,505,74,14169,327,701,5403,2134,12801,2789,37181,"18,153","8,924","9,229","3,579","14,574","14,145","4,036","15,206",432,8,"2,037","7,673","12,978","6,463","6,515"
287,"Fairmont, WV",0,0,6369,595,2057,553,38807,975,3183,15601,5762,32879,8774,35205,"19,737","9,905","9,832","4,289","15,448","14,872","4,598","18,994",81,65,85,"9,953","15,399","7,632","7,767"
288,"Fallon, NV",0,0,2065,351,935,123,16466,667,825,5327,2008,13095,2602,34375,"56,233","27,866","28,367","11,235","44,998","42,386","11,035","52,303","1,962",149,312,"26,371","44,760","21,796","22,964"
289,"Fargo, ND-MN",0,0,35472,2344,7150,5339,147524,3474,4466,31265,39816,128661,51928,42043,"24,606","12,639","11,967","5,586","19,020","18,329","4,738","19,345",638,"1,217",692,"11,007","18,120","9,167","8,953"
290,"Faribault-Northfield, MN",0,0,9671,614,1927,477,41597,1505,2466,12895,7321,35093,11044,40998,"243,966","122,300","121,666","56,022","187,944","173,672","29,973","212,247","13,395","2,644","6,752","110,404","179,113","89,659","89,454"
291,"Farmington, MO",0,0,5618,993,2393,116,46667,1891,5374,17580,3751,37178,6245,30855,"66,549","33,852","32,697","14,487","52,062","47,082","10,454","56,326","3,801",246,"1,403","25,161","48,851","24,897","23,954"
292,"Farmington, NM",0,0,11242,2337,3918,333,81510,4732,8155,25023,7030,40697,9156,33071,"66,653","35,609","31,044","14,030","52,623","50,526","11,090","61,497","2,736",229,283,"30,219","52,085","28,317","23,768"
293,"Fayetteville, NC",0,0,49054,5451,18759,2710,238921,7744,16026,61728,37791,113821,31941,32386,"125,608","62,136","63,472","33,315","92,293","87,354","18,599","61,878","1,062","48,718",973,"51,299","90,365","44,256","46,109"
294,"Fayetteville, AR",1,0,57748,5796,18570,6003,333084,21425,25238,96620,65625,253867,90458,37295,"125,608","62,136","63,472","33,315","92,293","87,354","18,599","61,878","1,062","48,718",973,"51,299","90,365","44,256","46,109"
295,"Fergus Falls, MN",0,0,4133,673,1378,377,41264,1086,2095,12109,7310,37131,10210,36394,"526,101","262,642","263,459","133,122","392,979","366,826","67,507","416,870","12,354","5,339","17,272","211,669","356,443","174,155","182,288"
296,"Fernley, NV",0,0,3443,777,1551,2,38127,1409,3498,12395,3711,29371,4961,36391,"58,416","29,371","29,045","12,686","45,730","43,950","13,902","54,943",682,228,277,"36,235","45,032","22,482","22,550"
297,"Findlay, OH",0,0,7073,528,2448,865,51617,764,3235,18696,8629,44967,12943,37186,"55,667","28,011","27,656","11,796","43,871","42,306","11,778","46,148",508,"1,508",698,"23,697","41,799","21,149","20,650"
298,"Fitzgerald, GA",0,0,1409,245,518,56,11400,614,1363,5044,843,6349,1045,28728,"75,765","37,353","38,412","16,806","58,959","55,910","13,027","69,893","1,023",76,"1,581","34,401","57,278","27,947","29,331"
299,"Flagstaff, AZ",0,0,28451,1792,8339,2004,82119,3407,5108,17604,17349,51890,25198,35416,"16,889","8,218","8,671","4,196","12,693","12,121","2,893","9,858","6,238",0,99,"8,015","12,298","5,599","6,699"
300,"Flint, MI",0,0,36531,6225,12600,2333,278730,6517,20107,88970,37050,199428,48754,33774,"142,254","70,124","72,130","29,040","113,214","96,141","17,955","89,806","1,929","37,159","2,737","66,807","110,158","53,623","56,535"
301,"Florence, SC",0,0,18181,2503,6224,1475,139171,7139,15479,47073,18750,71133,20625,31363,"406,770","196,149","210,621","91,812","314,958","300,680","70,935","300,429","80,729","1,311","3,964","192,583","311,344","147,325","164,019"
302,"Florence-Muscle Shoals, AL",0,0,14883,1452,4371,967,102067,4364,9631,36739,13976,76490,19782,34062,"205,095","96,202","108,893","47,595","157,500","150,084","36,014","110,316","86,472",559,"2,161","92,248","155,088","70,695","84,393"
303,"Fond du Lac, WI",0,0,8927,928,3290,536,71153,1996,3893,26061,11354,62607,15193,39457,"147,827","71,046","76,781","29,820","118,007","111,047","29,453","123,094","18,423",651,863,"71,999","116,370","54,932","61,438"
304,"Forest City, NC",0,0,5131,847,1980,434,47424,2450,5795,15142,5506,34933,7884,30984,"102,654","50,797","51,857","21,949","80,705","76,892","18,843","94,411","1,434",471,"1,214","45,338","78,625","38,497","40,128"
305,"Forrest City, AR",0,0,2181,467,616,62,18340,1238,2312,7120,1110,6950,949,26707,"66,741","32,341","34,400","13,671","53,070","50,624","14,333","57,134","6,138",251,345,"34,482","52,209","24,846","27,363"
306,"Fort Collins, CO",1,0,49188,2776,12615,7961,221161,2980,6409,42507,61002,198563,96264,41291,"25,477","14,261","11,216","5,478","19,999","19,035","4,170","10,237","13,470",117,170,"10,969","19,241","10,594","8,647"
307,"Fort Dodge, IA",0,0,4163,473,1428,174,24745,641,1633,8433,3563,20992,4559,32189,"350,523","174,652","175,871","68,416","282,107","261,102","54,833","312,805","3,489","2,545","7,538","144,583","272,393","134,467","137,926"
308,"Fort Leonard Wood, MO",0,0,11946,700,5430,341,29000,805,1687,8010,4779,20761,5663,32303,"36,348","18,867","17,481","7,709","28,639","26,673","6,712","32,516","1,567",114,494,"17,056","27,986","14,591","13,395"
309,"Fort Madison-Keokuk, IA-IL-MO",0,0,4367,639,1759,193,42250,949,2571,17071,5094,37442,7006,34185,"52,359","29,766","22,593","11,473","40,886","33,817","4,493","39,314","5,846",511,"1,434","19,137","39,694","23,076","16,618"
310,"Fort Morgan, CO",0,0,2483,631,1090,77,18355,1822,1835,5709,2053,13375,3085,33446,"58,549","29,385","29,164","12,625","45,924","44,174","12,537","55,415","1,120",105,364,"28,986","45,692","22,681","23,011"
311,"Fort Payne, AL",0,0,5844,1172,2103,94,47876,5762,6632,15956,3557,32782,5535,29970,"28,617","14,609","14,008","7,402","21,215","20,132","4,417","23,892",883,116,138,"11,809","18,850","9,469","9,381"
312,"Fort Polk South, LA",0,0,7381,822,3636,466,30714,1172,2757,11496,3571,20884,3938,35557,"71,430","35,307","36,123","17,366","54,064","51,539","12,124","60,554","1,093",850,76,"31,424","49,880","24,150","25,730"
313,"Fort Smith, AR-OK",0,0,24790,4195,10138,1022,188409,11571,20198,67216,21444,129701,26965,31195,"49,315","26,177","23,138","12,242","37,073","34,191","5,970","37,175","7,219",590,"1,077","22,307","36,496","19,880","16,616"
314,"Fort Wayne, IN",0,0,38800,6350,12628,3411,281904,10773,18363,85664,49781,220326,67928,36561,"250,260","122,908","127,352","60,039","190,221","180,851","42,210","190,424","9,974","11,869","7,284","111,454","182,967","88,577","94,390"
315,"Frankfort, IN",0,0,2636,448,1038,210,21208,1283,1637,9343,2394,17633,3449,32444,"409,419","200,447","208,972","104,290","305,129","290,648","60,802","323,831","42,737",815,"15,838","174,335","293,010","140,899","152,111"
316,"Frankfort, KY",0,0,6072,690,2542,315,50511,2152,3428,16380,8496,40126,11724,35117,"32,186","15,986","16,200","8,439","23,747","22,678","5,286","29,096",185,6,92,"13,376","21,982","10,563","11,419"
317,"Fredericksburg, TX",0,0,1747,271,766,121,19255,1029,1018,5896,4780,16346,6300,30521,"73,324","35,643","37,681","15,989","57,335","54,377","12,475","63,019","5,699",37,"1,000","32,755","55,910","26,697","29,213"
318,"Freeport, IL",0,0,3629,455,1322,131,31980,698,1571,11508,4169,27079,5792,32229,"26,668","12,884","13,784","5,328","21,340","20,623","7,820","24,123",23,627,83,"13,218","19,965","9,312","10,653"
319,"Fremont, NE",0,0,3328,369,1054,337,24597,1262,1364,8926,2952,21090,4472,34432,"44,683","21,604","23,079","9,600","35,083","33,805","10,266","37,778","4,271",76,367,"21,895","34,751","16,569","18,182"
320,"Fremont, OH",0,0,4832,555,2174,267,40884,1113,2880,17290,4419,34710,6179,36399,"36,565","18,134","18,431","8,851","27,714","26,171","7,003","34,047",391,295,234,"16,820","26,089","12,610","13,479"
321,"Fresno, CA",1,0,101646,15621,29699,6097,596505,84595,62794,136851,82089,312304,87723,31287,"58,801","29,361","29,440","13,286","45,515","43,688","11,022","52,795","1,573",295,287,"26,347","45,052","22,013","23,039"
322,"Gadsden, AL",0,0,8663,1426,2594,536,71995,3642,7505,23665,7837,50588,11106,31404,"990,204","494,056","496,148","281,391","708,813","666,196","121,129","597,574","46,182","11,604","105,302","333,357","603,614","293,711","309,903"
323,"Gaffney, SC",0,0,5385,1213,1653,538,38066,2496,5259,13944,3517,23713,4524,30792,"102,721","49,531","53,190","22,106","80,615","77,013","19,538","81,298","16,519",529,808,"47,805","79,102","37,511","41,591"
324,"Gainesville, FL",0,1,58680,3733,9804,9259,171151,5140,8645,39648,35822,118217,54455,36344,"57,110","27,649","29,461","13,163","43,947","41,709","9,475","42,996","11,477",58,344,"24,675","43,035","20,665","22,370"
325,"Gainesville, GA",0,0,17894,3396,6462,896,127116,14472,13007,34930,19036,87585,28085,33993,"327,329","158,889","168,440","60,097","267,232","240,647","51,659","231,831","58,374",973,"16,676","147,228","252,783","121,025","131,758"
326,"Gainesville, TX",0,0,3433,465,1144,206,26634,1416,2267,8382,3748,21564,5212,36886,"201,434","100,169","101,265","50,868","150,566","142,523","30,141","162,231","14,476",518,"3,836","74,544","128,787","62,250","66,537"
327,"Galesburg, IL",0,0,5408,575,1545,305,35533,880,3108,12850,4247,28950,6259,32046,"40,428","20,048","20,380","9,634","30,794","29,307","7,445","36,259","1,115",317,319,"16,986","28,624","13,986","14,638"
328,"Gallup, NM",0,0,7563,1615,3057,131,43920,4134,6691,14797,2759,6692,2556,24484,"50,052","25,444","24,608","9,930","40,122","37,575","10,689","42,893","4,541",135,540,"23,890","39,015","19,469","19,546"
329,"Garden City, KS",0,0,4351,811,1579,174,23977,3704,3188,5310,2600,14966,3702,35550,"71,956","34,751","37,205","20,668","51,288","48,090","8,881","9,404",379,"54,439",797,"26,348","50,444","23,809","26,635"
330,"Gardnerville Ranchos, NV",0,0,2957,354,1254,195,36536,873,1411,8797,6545,31612,10068,36464,"40,314","20,642","19,672","12,189","28,125","25,982","4,579","32,089","1,360",194,"1,482","15,181","23,707","11,965","11,742"
